# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
rightrightarrows;021C9
downdownarrows;021CA
leftrightharpoons;021CB
rightleftharpoons;021CC
nLeftarrow;021CD
nLeftrightarrow;021CE
nRightarrow;021CF
Leftarrow;021D0
Uparrow;021D1
Rightarrow;021D2
Downarrow;021D3
Leftrightarrow;021D4
Updownarrow;021D5
Nwarrow;021D6
Nearrow;021D7
Searrow;021D8
Swarrow;021D9
Lleftarrow;021DA
Rrightarrow;021DB
leftsquigarrow;021DC
rightsquigarrow;021DD
nHuparrow;021DE
nHdownarrow;021DF
leftdasharrow;021E0
updasharrow;021E1
rightdasharrow;021E2
downdasharrow;021E3
barleftarrow;021E4
rightarrowbar;021E5
leftwhitearrow;021E6
upwhitearrow;021E7
rightwhitearrow;021E8
downwhitearrow;021E9
whitearrowupfrombar;021EA
;021EB
;021EC
;021ED
;021EE
;021EF
;021F0
;021F1
;021F2
;021F3
circleonrightarrow;021F4
downuparrows;021F5
rightthreearrows;021F6
nvleftarrow;021F7
nvrightarrow;021F8
nvleftrightarrow;021F9
nVleftarrow;021FA
nVrightarrow;021FB
nVleftrightarrow;021FC
leftarrowtriangle;021FD
rightarrowtriangle;021FE
leftrightarrowtriangle;021FF
forall;02200
complement;02201
partial;02202
exists;02203
nexists;02204
varnothing;02205
increment;02206
nabla;02207
in;02208
notin;02209
smallin;0220A
ni;0220B
nni;0220C
smallni;0220D
QED;0220E
prod;0220F
coprod;02210
sum;02211
minus;02212
mp;02213
dotplus;02214
divslash;02215
smallsetminus;02216
ast;02217
vysmwhtcircle;02218
vysmblkcircle;02219
sqrt;0221A
cuberoot;0221B
fourthroot;0221C
propto;0221D
infty;0221E
rightangle;0221F
angle;02220
measuredangle;02221
sphericalangle;02222
mid;02223
nmid;02224
parallel;02225
nparallel;02226
wedge;02227
vee;02228
cap;02229
cup;0222A
int;0222B
iint;0222C
iiint;0222D
oint;0222E
oiint;0222F
oiiint;02230
intclockwise;02231
varointclockwise;02232
ointctrclockwise;02233
therefore;02234
because;02235
mathratio;02236
Colon;02237
dotminus;02238
dashcolon;02239
dotsminusdots;0223A
kernelcontraction;0223B
sim;0223C
backsim;0223D
invlazys;0223E
sinewave;0223F
wr;02240
nsim;02241
eqsim;02242
simeq;02243
nsime;02244
cong;02245
simneqq;02246
ncong;02247
approx;02248
napprox;02249
approxeq;0224A
approxident;0224B
backcong;0224C
asymp;0224D
Bumpeq;0224E
bumpeq;0224F
doteq;02250
Doteq;02251
fallingdotseq;02252
risingdotseq;02253
coloneq;02254
eqcolon;02255
eqcirc;02256
circeq;02257
arceq;02258
wedgeq;02259
veeeq;0225A
stareq;0225B
triangleq;0225C
eqdef;0225D
measeq;0225E
questeq;0225F
ne;02260
equiv;02261
nequiv;02262
Equiv;02263
leq;02264
geq;02265
leqq;02266
geqq;02267
lneqq;02268
gneqq;02269
ll;0226A
gg;0226B
between;0226C
nasymp;0226D
nless;0226E
ngtr;0226F
nleq;02270
ngeq;02271
lesssim;02272
gtrsim;02273
nlesssim;02274
ngtrsim;02275
lessgtr;02276
gtrless;02277
nlessgtr;02278
ngtrless;02279
prec;0227A
succ;0227B
preccurlyeq;0227C
succcurlyeq;0227D
precsim;0227E
succsim;0227F
nprec;02280
nsucc;02281
subset;02282
supset;02283
nsubset;02284
nsupset;02285
subseteq;02286
supseteq;02287
nsubseteq;02288
nsupseteq;02289
subsetneq;0228A
supsetneq;0228B
cupleftarrow;0228C
cupdot;0228D
uplus;0228E
sqsubset;0228F
sqsupset;02290
sqsubseteq;02291
sqsupseteq;02292
sqcap;02293
sqcup;02294
oplus;02295
ominus;02296
otimes;02297
oslash;02298
odot;02299
circledcirc;0229A
circledast;0229B
circledequal;0229C
circleddash;0229D
boxplus;0229E
boxminus;0229F
boxtimes;022A0
boxdot;022A1
vdash;022A2
dashv;022A3
top;022A4
bot;022A5
assert;022A6
models;022A7
vDash;022A8
Vdash;022A9
Vvdash;022AA
VDash;022AB
nvdash;022AC
nvDash;022AD
nVdash;022AE
nVDash;022AF
prurel;022B0
scurel;022B1
vartriangleleft;022B2
vartriangleright;022B3
trianglelefteq;022B4
trianglerighteq;022B5
origof;022B6
imageof;022B7
multimap;022B8
hermitmatrix;022B9
intercal;022BA
veebar;022BB
barwedge;022BC
barvee;022BD
measuredrightangle;022BE
varlrtriangle;022BF
bigwedge;022C0
bigvee;022C1
bigcap;022C2
bigcup;022C3
smwhtdiamond;022C4
cdot;022C5
star;022C6
divideontimes;022C7
bowtie;022C8
ltimes;022C9
rtimes;022CA
leftthreetimes;022CB
rightthreetimes;022CC
backsimeq;022CD
curlyvee;022CE
curlywedge;022CF
Subset;022D0
Supset;022D1
Cap;022D2
Cup;022D3
pitchfork;022D4
equalparallel;022D5
lessdot;022D6
gtrdot;022D7
lll;022D8
ggg;022D9
lesseqgtr;022DA
gtreqless;022DB
eqless;022DC
eqgtr;022DD
curlyeqprec;022DE
curlyeqsucc;022DF
npreccurlyeq;022E0
nsucccurlyeq;022E1
nsqsubseteq;022E2
nsqsupseteq;022E3
sqsubsetneq;022E4
sqsupsetneq;022E5
lnsim;022E6
gnsim;022E7
precnsim;022E8
succnsim;022E9
ntriangleleft;022EA
ntriangleright;022EB
ntrianglelefteq;022EC
ntrianglerighteq;022ED
vdots;022EE
unicodecdots;022EF
adots;022F0
ddots;022F1
disin;022F2
varisins;022F3
isins;022F4
isindot;022F5
varisinobar;022F6
isinobar;022F7
isinvb;022F8
isinE;022F9
nisd;022FA
varnis;022FB
nis;022FC
varniobar;022FD
niobar;022FE
bagmember;022FF
diameter;02300
house;02302
varbarwedge;02305
vardoublebarwedge;02306
lceil;02308
rceil;02309
lfloor;0230A
rfloor;0230B
invnot;02310
sqlozenge;02311
profline;02312
profsurf;02313
viewdata;02317
turnednot;02319
ulcorner;0231C
urcorner;0231D
llcorner;0231E
lrcorner;0231F
inttop;02320
intbottom;02321
frown;02322
smile;02323
varhexagonlrbonds;0232C
conictaper;02332
topbot;02336
;02337
;02338
;02339
;0233A
;0233B
;0233C
obar;0233D
;0233E
APLnotslash;0233F
APLnotbackslash;02340
;02341
;02342
;02343
;02344
;02345
;02346
;02347
;02348
;02349
;0234A
;0234B
;0234C
;0234D
;0234E
;0234F
;02350
;02351
;02352
APLboxupcaret;02353
;02354
;02355
;02356
;02357
;02358
;02359
;0235A
;0235B
;0235C
;0235D
;0235E
;0235F
;02360
;02361
;02362
;02363
;02364
;02365
;02366
;02367
;02368
;02369
;0236A
;0236B
;0236C
;0236D
;0236E
;0236F
APLboxquestion;02370
;02371
;02372
;02373
;02374
;02375
;02376
;02377
;02378
;02379
rangledownzigzagarrow;0237C
hexagon;02394
lparenuend;0239B
lparenextender;0239C
lparenlend;0239D
rparenuend;0239E
rparenextender;0239F
rparenlend;023A0
lbrackuend;023A1
lbrackextender;023A2
lbracklend;023A3
rbrackuend;023A4
rbrackextender;023A5
rbracklend;023A6
lbraceuend;023A7
lbracemid;023A8
lbracelend;023A9
vbraceextender;023AA
rbraceuend;023AB
rbracemid;023AC
rbracelend;023AD
intextender;023AE
harrowextender;023AF
lmoustache;023B0
rmoustache;023B1
sumtop;023B2
sumbottom;023B3
overbracket;023B4
underbracket;023B5
bbrktbrk;023B6
sqrtbottom;023B7
lvboxline;023B8
rvboxline;023B9
varcarriagereturn;023CE
;023D0
overparen;023DC
underparen;023DD
overbrace;023DE
underbrace;023DF
obrbrak;023E0
ubrbrak;023E1
trapezium;023E2
benzenr;023E3
strns;023E4
fltns;023E5
accurrent;023E6
elinters;023E7
;024C8
bdtriplevdash;02506
blockuphalf;02580
blocklowhalf;02584
blockfull;02588
blocklefthalf;0258C
blockrighthalf;02590
blockqtrshaded;02591
blockhalfshaded;02592
blockthreeqtrshaded;02593
mdlgblksquare;025A0
mdlgwhtsquare;025A1
squoval;025A2
blackinwhitesquare;025A3
squarehfill;025A4
squarevfill;025A5
squarehvfill;025A6
squarenwsefill;025A7
squareneswfill;025A8
squarecrossfill;025A9
smblksquare;025AA
smwhtsquare;025AB
hrectangleblack;025AC
hrectangle;025AD
vrectangleblack;025AE
vrectangle;025AF
parallelogramblack;025B0
parallelogram;025B1
bigblacktriangleup;025B2
bigtriangleup;025B3
blacktriangle;025B4
vartriangle;025B5
blacktriangleright;025B6
triangleright;025B7
smallblacktriangleright;025B8
smalltriangleright;025B9
blackpointerright;025BA
whitepointerright;025BB
bigblacktriangledown;025BC
bigtriangledown;025BD
blacktriangledown;025BE
triangledown;025BF
blacktriangleleft;025C0
triangleleft;025C1
smallblacktriangleleft;025C2
smalltriangleleft;025C3
blackpointerleft;025C4
whitepointerleft;025C5
mdlgblkdiamond;025C6
mdlgwhtdiamond;025C7
blackinwhitediamond;025C8
fisheye;025C9
mdlgwhtlozenge;025CA
mdlgwhtcircle;025CB
dottedcircle;025CC
circlevertfill;025CD
bullseye;025CE
mdlgblkcircle;025CF
circlelefthalfblack;025D0
circlerighthalfblack;025D1
circlebottomhalfblack;025D2
circletophalfblack;025D3
circleurquadblack;025D4
blackcircleulquadwhite;025D5
blacklefthalfcircle;025D6
blackrighthalfcircle;025D7
inversebullet;025D8
inversewhitecircle;025D9
invwhiteupperhalfcircle;025DA
invwhitelowerhalfcircle;025DB
ularc;025DC
urarc;025DD
lrarc;025DE
llarc;025DF
topsemicircle;025E0
botsemicircle;025E1
lrblacktriangle;025E2
llblacktriangle;025E3
ulblacktriangle;025E4
urblacktriangle;025E5
smwhtcircle;025E6
squareleftblack;025E7
squarerightblack;025E8
squareulblack;025E9
squarelrblack;025EA
boxbar;025EB
trianglecdot;025EC
triangleleftblack;025ED
trianglerightblack;025EE
lgwhtcircle;025EF
squareulquad;025F0
squarellquad;025F1
squarelrquad;025F2
squareurquad;025F3
circleulquad;025F4
circlellquad;025F5
circlelrquad;025F6
circleurquad;025F7
ultriangle;025F8
urtriangle;025F9
lltriangle;025FA
mdwhtsquare;025FB
mdblksquare;025FC
mdsmwhtsquare;025FD
mdsmblksquare;025FE
lrtriangle;025FF
bigstar;02605
bigwhitestar;02606
astrosun;02609
;0260C
;02610
;02611
;02612
;02615
;0261E
;02620
danger;02621
;02622
;02623
;0262F
;02639
;0263A
blacksmiley;0263B
sun;0263C
rightmoon;0263D
leftmoon;0263E
;0263F
female;02640
;02641
male;02642
;02643
;02644
;02645
;02646
;02647
;02648
;02649
;0264A
;0264B
;0264C
;0264D
;0264E
;0264F
;02650
;02651
;02652
;02653
spadesuit;02660
heartsuit;02661
diamondsuit;02662
clubsuit;02663
varspadesuit;02664
varheartsuit;02665
vardiamondsuit;02666
varclubsuit;02667
quarternote;02669
eighthnote;0266A
twonotes;0266B
;0266C
flat;0266D
natural;0266E
sharp;0266F
;0267B
acidfree;0267E
dicei;02680
diceii;02681
diceiii;02682
diceiv;02683
dicev;02684
dicevi;02685
circledrightdot;02686
circledtwodots;02687
blackcircledrightdot;02688
blackcircledtwodots;02689
;02693
;02694
;026A0
Hermaphrodite;026A5
mdwhtcircle;026AA
mdblkcircle;026AB
mdsmwhtcircle;026AC
neuter;026B2
;0270E
checkmark;02713
;02717
maltese;02720
circledstar;0272A
varstar;02736
dingasterisk;0273D
lbrbrak;02772
rbrbrak;02773
draftingarrow;0279B
;027A2
threedangle;027C0
whiteinwhitetriangle;027C1
perp;027C2
subsetcirc;027C3
supsetcirc;027C4
lbag;027C5
rbag;027C6
veedot;027C7
bsolhsub;027C8
suphsol;027C9
longdivision;027CC
diamondcdot;027D0
wedgedot;027D1
upin;027D2
pullback;027D3
pushout;027D4
leftouterjoin;027D5
rightouterjoin;027D6
fullouterjoin;027D7
bigbot;027D8
bigtop;027D9
DashVDash;027DA
dashVdash;027DB
multimapinv;027DC
vlongdash;027DD
longdashv;027DE
cirbot;027DF
lozengeminus;027E0
concavediamond;027E1
concavediamondtickleft;027E2
concavediamondtickright;027E3
whitesquaretickleft;027E4
whitesquaretickright;027E5
lBrack;027E6
rBrack;027E7
langle;027E8
rangle;027E9
lAngle;027EA
rAngle;027EB
Lbrbrak;027EC
Rbrbrak;027ED
;027EE
;027EF
UUparrow;027F0
DDownarrow;027F1
acwgapcirclearrow;027F2
cwgapcirclearrow;027F3
rightarrowonoplus;027F4
longleftarrow;027F5
longrightarrow;027F6
longleftrightarrow;027F7
Longleftarrow;027F8
Longrightarrow;027F9
Longleftrightarrow;027FA
longmapsfrom;027FB
longmapsto;027FC
